,Voltage,Temperature
Module7_Cell2_Voltage,3313,461
Module7_Cell3_Voltage,3312,461
Module7_Cell4_Voltage,3313,461
Module7_Cell5_Voltage,3316,457
Module7_Cell6_Voltage,3320,457
Module7_Cell7_Voltage,3322,457
Module7_Cell8_Voltage,3319,457
Module7_Cell9_Voltage,3301,457
Module7_Cell10_Voltage,3318,457
Module7_Cell11_Voltage,3313,457
Module7_Cell12_Voltage,3314,457
Module7_Cell13_Voltage,3318,457
Module7_Cell14_Voltage,3318,457
Module7_Cell15_Voltage,3318,457
Module7_Cell16_Voltage,3320,457
Module8_Cell1_Voltage,3320,464
Module8_Cell2_Voltage,3320,464
Module8_Cell3_Voltage,3322,464
Module8_Cell4_Voltage,3322,464
Module8_Cell5_Voltage,3320,462
Module8_Cell6_Voltage,3318,462
Module8_Cell7_Voltage,3334,462
Module8_Cell8_Voltage,3319,462
Module8_Cell9_Voltage,3292,461
Module8_Cell10_Voltage,3313,461
Module8_Cell11_Voltage,3311,461
Module8_Cell12_Voltage,3313,461
Module8_Cell13_Voltage,3313,454
Module8_Cell14_Voltage,3315,454
Module8_Cell15_Voltage,3314,454
Module8_Cell16_Voltage,3315,454
Module9_Cell1_Voltage,3320,465
Module9_Cell2_Voltage,3319,465
Module9_Cell3_Voltage,3320,465
Module9_Cell4_Voltage,3319,465
Module9_Cell5_Voltage,3322,461
Module9_Cell6_Voltage,3320,461
Module9_Cell7_Voltage,3334,461
Module9_Cell8_Voltage,3319,461
Module9_Cell9_Voltage,3298,462
Module9_Cell10_Voltage,3317,462
Module9_Cell11_Voltage,3317,462
Module9_Cell12_Voltage,3314,462
Module9_Cell13_Voltage,3314,454
Module9_Cell14_Voltage,3317,454
Module9_Cell15_Voltage,3315,454
Module9_Cell16_Voltage,3313,454
Module10_Cell1_Voltage,3318,467
Module10_Cell2_Voltage,3320,467
Module10_Cell3_Voltage,3319,467
Module10_Cell4_Voltage,3320,467
Module10_Cell5_Voltage,3329,478
Module10_Cell6_Voltage,3321,478
Module10_Cell7_Voltage,3325,478
Module10_Cell8_Voltage,3321,478
Module10_Cell9_Voltage,3309,460
Module10_Cell10_Voltage,3314,460
Module10_Cell11_Voltage,3315,460
Module10_Cell12_Voltage,3312,460
Module10_Cell13_Voltage,3317,460
Module10_Cell14_Voltage,3317,460
Module10_Cell15_Voltage,3319,460
Module10_Cell16_Voltage,3318,460
Module11_Cell1_Voltage,3319,467
Module11_Cell2_Voltage,3319,467
Module11_Cell3_Voltage,3318,467
Module11_Cell4_Voltage,3318,467
Module11_Cell5_Voltage,3318,461
Module11_Cell6_Voltage,3318,461
Module11_Cell7_Voltage,3320,461
Module11_Cell8_Voltage,3319,461
Module11_Cell9_Voltage,3304,460
Module11_Cell10_Voltage,3315,460
Module11_Cell11_Voltage,3312,460
Module11_Cell12_Voltage,3315,460
Module11_Cell13_Voltage,3314,465
Module11_Cell14_Voltage,3320,465
Module11_Cell15_Voltage,3317,465
Module11_Cell16_Voltage,3317,465
Module12_Cell1_Voltage,3319,494
Module12_Cell2_Voltage,3318,494
Module12_Cell3_Voltage,3322,494
Module12_Cell4_Voltage,3319,494
Module12_Cell5_Voltage,3319,464
Module12_Cell6_Voltage,3315,464
Module12_Cell7_Voltage,3334,464
Module12_Cell8_Voltage,3313,464
Module12_Cell9_Voltage,3311,462
Module12_Cell10_Voltage,3315,462
Module12_Cell11_Voltage,3317,462
Module12_Cell12_Voltage,3315,462
Module12_Cell13_Voltage,3320,454
Module12_Cell14_Voltage,3318,454
Module12_Cell15_Voltage,3319,454
Module12_Cell16_Voltage,3317,454
Module13_Cell1_Voltage,3317,471
Module13_Cell2_Voltage,3315,471
Module13_Cell3_Voltage,3317,471
Module13_Cell4_Voltage,3315,471
Module13_Cell5_Voltage,3317,468
Module13_Cell6_Voltage,3314,468
Module13_Cell7_Voltage,3318,468
Module13_Cell8_Voltage,3314,468
Module13_Cell9_Voltage,3307,495
Module13_Cell10_Voltage,3314,495
Module13_Cell11_Voltage,3316,495
Module13_Cell12_Voltage,3319,495
Module13_Cell13_Voltage,3316,482
Module13_Cell14_Voltage,3316,482
Module13_Cell15_Voltage,3317,482
Module13_Cell16_Voltage,3317,482
Module14_Cell1_Voltage,3313,472
Module14_Cell2_Voltage,3314,472
Module14_Cell3_Voltage,3315,472
Module14_Cell4_Voltage,3315,472
Module14_Cell5_Voltage,3313,471
Module14_Cell6_Voltage,3314,471
Module14_Cell7_Voltage,3315,471
Module14_Cell8_Voltage,3315,471
Module14_Cell9_Voltage,3315,475
Module14_Cell10_Voltage,3320,475
Module14_Cell11_Voltage,3321,475
Module14_Cell12_Voltage,3319,475
Module14_Cell13_Voltage,3324,479
Module14_Cell14_Voltage,3322,479
Module14_Cell15_Voltage,3336,479
Module14_Cell16_Voltage,3320,479
Module15_Cell1_Voltage,3314,472
Module15_Cell2_Voltage,3312,472
Module15_Cell3_Voltage,3311,472
Module15_Cell4_Voltage,3309,472
Module15_Cell5_Voltage,3313,470
Module15_Cell6_Voltage,3313,470
Module15_Cell7_Voltage,3313,470
Module15_Cell8_Voltage,3314,470
Module15_Cell9_Voltage,3314,467
Module15_Cell10_Voltage,3318,467
Module15_Cell11_Voltage,3317,467
Module15_Cell12_Voltage,3315,467
Module15_Cell13_Voltage,3314,461
Module15_Cell14_Voltage,3313,461
Module15_Cell15_Voltage,3314,461
Module15_Cell16_Voltage,3312,461
Module16_Cell1_Voltage,3318,470
Module16_Cell2_Voltage,3317,470
Module16_Cell3_Voltage,3319,470
Module16_Cell4_Voltage,3317,470
Module16_Cell5_Voltage,3322,466
Module16_Cell6_Voltage,3319,466
Module16_Cell7_Voltage,3336,466
Module16_Cell8_Voltage,3317,466
Module16_Cell9_Voltage,3317,481
Module16_Cell10_Voltage,3320,481
Module16_Cell11_Voltage,3321,481
Module16_Cell12_Voltage,3321,481
Module16_Cell13_Voltage,3331,463
Module16_Cell14_Voltage,3321,463
Module16_Cell15_Voltage,3326,463
Module16_Cell16_Voltage,3328,463
Module1_Cell1_Voltage,3312,473
Module1_Cell2_Voltage,3312,473
Module1_Cell3_Voltage,3308,473
Module1_Cell4_Voltage,3309,473
Module1_Cell5_Voltage,3311,468
Module1_Cell6_Voltage,3314,468
Module1_Cell7_Voltage,3311,468
Module1_Cell8_Voltage,3319,468
Module1_Cell9_Voltage,3316,470
Module1_Cell10_Voltage,3317,470
Module1_Cell11_Voltage,3313,470
Module1_Cell12_Voltage,3315,470
Module1_Cell13_Voltage,3313,462
Module1_Cell14_Voltage,3315,462
Module1_Cell15_Voltage,3316,462
Module1_Cell16_Voltage,3316,462
Module2_Cell1_Voltage,3319,471
Module2_Cell2_Voltage,3317,471
Module2_Cell3_Voltage,3323,471
Module2_Cell4_Voltage,3320,471
Module2_Cell5_Voltage,3331,471
Module2_Cell6_Voltage,3317,471
Module2_Cell7_Voltage,3324,471
Module2_Cell8_Voltage,3317,471
Module2_Cell9_Voltage,3314,471
Module2_Cell10_Voltage,3315,471
Module2_Cell11_Voltage,3315,471
Module2_Cell12_Voltage,3318,471
Module2_Cell13_Voltage,3318,465
Module2_Cell14_Voltage,3315,465
Module2_Cell15_Voltage,3323,465
Module2_Cell16_Voltage,3318,465
Module3_Cell1_Voltage,3314,472
Module3_Cell2_Voltage,3315,472
Module3_Cell3_Voltage,3314,472
Module3_Cell4_Voltage,3315,472
Module3_Cell5_Voltage,3314,470
Module3_Cell6_Voltage,3315,470
Module3_Cell7_Voltage,3317,470
Module3_Cell8_Voltage,3326,470
Module3_Cell9_Voltage,3326,470
Module3_Cell10_Voltage,3317,470
Module3_Cell11_Voltage,3320,470
Module3_Cell12_Voltage,3318,470
Module3_Cell13_Voltage,3330,463
Module3_Cell14_Voltage,3321,463
Module3_Cell15_Voltage,3327,463
Module3_Cell16_Voltage,3323,463
Module4_Cell1_Voltage,3322,472
Module4_Cell2_Voltage,3322,472
Module4_Cell3_Voltage,3327,472
Module4_Cell4_Voltage,3326,472
Module4_Cell5_Voltage,3337,463
Module4_Cell6_Voltage,3322,463
Module4_Cell7_Voltage,3336,463
Module4_Cell8_Voltage,3319,463
Module4_Cell9_Voltage,3317,464
Module4_Cell10_Voltage,3320,464
Module4_Cell11_Voltage,3320,464
Module4_Cell12_Voltage,3320,464
Module4_Cell13_Voltage,3319,458
Module4_Cell14_Voltage,3314,458
Module4_Cell15_Voltage,3320,458
Module4_Cell16_Voltage,3315,458
Module5_Cell1_Voltage,3322,480
Module5_Cell2_Voltage,3320,480
Module5_Cell3_Voltage,3324,480
Module5_Cell4_Voltage,3321,480
Module5_Cell5_Voltage,3326,459
Module5_Cell6_Voltage,3318,459
Module5_Cell7_Voltage,3323,459
Module5_Cell8_Voltage,3317,459
Module5_Cell9_Voltage,3317,461
Module5_Cell10_Voltage,3319,461
Module5_Cell11_Voltage,3322,461
Module5_Cell12_Voltage,3319,461
Module5_Cell13_Voltage,3326,462
Module5_Cell14_Voltage,3323,462
Module5_Cell15_Voltage,3339,462
Module5_Cell16_Voltage,3323,462
Module6_Cell1_Voltage,3321,464
Module6_Cell2_Voltage,3321,464
Module6_Cell3_Voltage,3322,464
Module6_Cell4_Voltage,3323,464
Module6_Cell5_Voltage,3327,457
Module6_Cell6_Voltage,3321,457
Module6_Cell7_Voltage,3324,457
Module6_Cell8_Voltage,3320,457
Module6_Cell9_Voltage,3304,476
Module6_Cell10_Voltage,3317,476
Module6_Cell11_Voltage,3314,476
Module6_Cell12_Voltage,3316,476
Module6_Cell13_Voltage,3312,448
Module6_Cell14_Voltage,3312,448
Module6_Cell15_Voltage,3313,448
Module6_Cell16_Voltage,3313,448
Module7_Cell1_Voltage,3315,461
Module7_Cell2_Voltage,3313,461
Module7_Cell3_Voltage,3312,461
Module7_Cell4_Voltage,3313,461
Module7_Cell5_Voltage,3316,457
Module7_Cell6_Voltage,3320,457
Module7_Cell7_Voltage,3322,457
Module7_Cell8_Voltage,3319,457
Module7_Cell9_Voltage,3301,457
Module7_Cell10_Voltage,3318,457
Module7_Cell11_Voltage,3313,457
Module7_Cell12_Voltage,3314,457
Module7_Cell13_Voltage,3318,457
Module7_Cell14_Voltage,3318,457
Module7_Cell15_Voltage,3318,457
Module7_Cell16_Voltage,3320,457
Module8_Cell1_Voltage,3320,464
Module8_Cell2_Voltage,3320,464
Module8_Cell3_Voltage,3322,464
Module8_Cell4_Voltage,3322,464
Module8_Cell5_Voltage,3320,462
Module8_Cell6_Voltage,3318,462
Module8_Cell7_Voltage,3334,462
Module8_Cell8_Voltage,3319,462
Module8_Cell9_Voltage,3292,461
Module8_Cell10_Voltage,3313,461
Module8_Cell11_Voltage,3311,461
Module8_Cell12_Voltage,3313,461
Module8_Cell13_Voltage,3313,454
Module8_Cell14_Voltage,3315,454
Module8_Cell15_Voltage,3314,454
Module8_Cell16_Voltage,3315,454
Module9_Cell1_Voltage,3320,465
Module9_Cell2_Voltage,3319,465
Module9_Cell3_Voltage,3320,465
Module9_Cell4_Voltage,3319,465
Module9_Cell5_Voltage,3322,461
Module9_Cell6_Voltage,3320,461
Module9_Cell7_Voltage,3334,461
Module9_Cell8_Voltage,3319,461
Module9_Cell9_Voltage,3298,462
Module9_Cell10_Voltage,3317,462
Module9_Cell11_Voltage,3317,462
Module9_Cell12_Voltage,3314,462
Module9_Cell13_Voltage,3314,454
Module9_Cell14_Voltage,3317,454
Module9_Cell15_Voltage,3315,454
Module9_Cell16_Voltage,3313,454
Module10_Cell1_Voltage,3318,467
Module10_Cell2_Voltage,3320,467
Module10_Cell3_Voltage,3319,467
Module10_Cell4_Voltage,3320,467
Module10_Cell5_Voltage,3329,478
Module10_Cell6_Voltage,3321,478
Module10_Cell7_Voltage,3325,478
Module10_Cell8_Voltage,3321,478
Module10_Cell9_Voltage,3309,460
Module10_Cell10_Voltage,3314,460
Module10_Cell11_Voltage,3315,460
Module10_Cell12_Voltage,3312,460
Module10_Cell13_Voltage,3317,460
Module10_Cell14_Voltage,3317,460
Module10_Cell15_Voltage,3319,460
Module10_Cell16_Voltage,3318,460
Module11_Cell1_Voltage,3319,467
Module11_Cell2_Voltage,3319,467
Module11_Cell3_Voltage,3318,467
Module11_Cell4_Voltage,3318,467
Module11_Cell5_Voltage,3318,461
Module11_Cell6_Voltage,3318,461
Module11_Cell7_Voltage,3320,461
Module11_Cell8_Voltage,3319,461
Module11_Cell9_Voltage,3304,460
Module11_Cell10_Voltage,3315,460
Module11_Cell11_Voltage,3312,460
Module11_Cell12_Voltage,3315,460
Module11_Cell13_Voltage,3314,465
Module11_Cell14_Voltage,3320,465
Module11_Cell15_Voltage,3317,465
Module11_Cell16_Voltage,3317,465
Module12_Cell1_Voltage,3319,494
Module12_Cell2_Voltage,3318,494
Module12_Cell3_Voltage,3322,494
Module12_Cell4_Voltage,3319,494
Module12_Cell5_Voltage,3319,464
Module12_Cell6_Voltage,3315,464
Module12_Cell7_Voltage,3334,464
Module12_Cell8_Voltage,3313,464
Module12_Cell9_Voltage,3311,462
Module12_Cell10_Voltage,3315,462
Module12_Cell11_Voltage,3317,462
Module12_Cell12_Voltage,3315,462
Module12_Cell13_Voltage,3320,454
Module12_Cell14_Voltage,3318,454
Module12_Cell15_Voltage,3319,454
Module12_Cell16_Voltage,3317,454
Module13_Cell1_Voltage,3317,471
Module13_Cell2_Voltage,3315,471
Module13_Cell3_Voltage,3317,471
Module13_Cell4_Voltage,3315,471
Module13_Cell5_Voltage,3317,468
Module13_Cell6_Voltage,3314,468
Module13_Cell7_Voltage,3318,468
Module13_Cell8_Voltage,3314,468
Module13_Cell9_Voltage,3307,495
Module13_Cell10_Voltage,3314,495
Module13_Cell11_Voltage,3316,495
Module13_Cell12_Voltage,3319,495
Module13_Cell13_Voltage,3316,482
Module13_Cell14_Voltage,3316,482
Module13_Cell15_Voltage,3317,482
Module13_Cell16_Voltage,3317,482
Module14_Cell1_Voltage,3313,472
Module14_Cell2_Voltage,3314,472
Module14_Cell3_Voltage,3315,472
Module14_Cell4_Voltage,3315,472
Module14_Cell5_Voltage,3313,471
Module14_Cell6_Voltage,3314,471
Module14_Cell7_Voltage,3315,471
Module14_Cell8_Voltage,3315,471
Module14_Cell9_Voltage,3315,475
Module14_Cell10_Voltage,3320,475
Module14_Cell11_Voltage,3321,475
Module14_Cell12_Voltage,3319,475
Module14_Cell13_Voltage,3324,479
Module14_Cell14_Voltage,3322,479
Module14_Cell15_Voltage,3336,479
Module14_Cell16_Voltage,3320,479
Module15_Cell1_Voltage,3314,472
Module15_Cell2_Voltage,3312,472
Module15_Cell3_Voltage,3311,472
Module15_Cell4_Voltage,3309,472
Module15_Cell5_Voltage,3313,470
Module15_Cell6_Voltage,3313,470
Module15_Cell7_Voltage,3313,470
Module15_Cell8_Voltage,3314,470
Module15_Cell9_Voltage,3314,467
Module15_Cell10_Voltage,3318,467
Module15_Cell11_Voltage,3317,467
Module15_Cell12_Voltage,3315,467
Module15_Cell13_Voltage,3314,461
Module15_Cell14_Voltage,3313,461
Module15_Cell15_Voltage,3314,461
Module15_Cell16_Voltage,3312,461
Module16_Cell1_Voltage,3318,470
Module16_Cell2_Voltage,3317,470
Module16_Cell3_Voltage,3319,470
Module16_Cell4_Voltage,3317,470
Module16_Cell5_Voltage,3322,466
Module16_Cell6_Voltage,3319,466
Module16_Cell7_Voltage,3336,466
Module16_Cell8_Voltage,3317,466
Module16_Cell9_Voltage,3317,481
Module16_Cell10_Voltage,3320,481
Module16_Cell11_Voltage,3321,481
Module16_Cell12_Voltage,3321,481
Module16_Cell13_Voltage,3331,463
Module16_Cell14_Voltage,3321,463
Module16_Cell15_Voltage,3326,463
Module16_Cell16_Voltage,3328,463
Module1_Cell1_Voltage,3312,473
Module1_Cell2_Voltage,3312,473
Module1_Cell3_Voltage,3308,473
Module1_Cell4_Voltage,3309,473
Module1_Cell5_Voltage,3311,468
Module1_Cell6_Voltage,3314,468
Module1_Cell7_Voltage,3311,468
Module1_Cell8_Voltage,3319,468
Module1_Cell9_Voltage,3316,470
Module1_Cell10_Voltage,3317,470
Module1_Cell11_Voltage,3313,470
Module1_Cell12_Voltage,3315,470
Module1_Cell13_Voltage,3313,462
Module1_Cell14_Voltage,3315,462
Module1_Cell15_Voltage,3316,462
Module1_Cell16_Voltage,3316,462
Module2_Cell1_Voltage,3319,471
Module2_Cell2_Voltage,3317,471
Module2_Cell3_Voltage,3323,471
Module2_Cell4_Voltage,3320,471
Module2_Cell5_Voltage,3331,471
Module2_Cell6_Voltage,3317,471
Module2_Cell7_Voltage,3324,471
Module2_Cell8_Voltage,3317,471
Module2_Cell9_Voltage,3314,471
Module2_Cell10_Voltage,3315,471
Module2_Cell11_Voltage,3315,471
Module2_Cell12_Voltage,3318,471
Module2_Cell13_Voltage,3318,465
Module2_Cell14_Voltage,3315,465
Module2_Cell15_Voltage,3323,465
Module2_Cell16_Voltage,3318,465
Module3_Cell1_Voltage,3314,472
Module3_Cell2_Voltage,3315,472
Module3_Cell3_Voltage,3314,472
Module3_Cell4_Voltage,3315,472
Module3_Cell5_Voltage,3314,470
Module3_Cell6_Voltage,3315,470
Module3_Cell7_Voltage,3317,470
Module3_Cell8_Voltage,3326,470
Module3_Cell9_Voltage,3326,470
Module3_Cell10_Voltage,3317,470
Module3_Cell11_Voltage,3320,470
Module3_Cell12_Voltage,3318,470
Module3_Cell13_Voltage,3330,463
Module3_Cell14_Voltage,3321,463
Module3_Cell15_Voltage,3327,463
Module3_Cell16_Voltage,3323,463
Module4_Cell1_Voltage,3322,472
Module4_Cell2_Voltage,3322,472
Module4_Cell3_Voltage,3327,472
Module4_Cell4_Voltage,3326,472
Module4_Cell5_Voltage,3337,463
Module4_Cell6_Voltage,3322,463
Module4_Cell7_Voltage,3336,463
Module4_Cell8_Voltage,3319,463
Module4_Cell9_Voltage,3317,464
Module4_Cell10_Voltage,3320,464
Module4_Cell11_Voltage,3320,464
Module4_Cell12_Voltage,3320,464
Module4_Cell13_Voltage,3319,458
Module4_Cell14_Voltage,3314,458
Module4_Cell15_Voltage,3320,458
Module4_Cell16_Voltage,3315,458
Module5_Cell1_Voltage,3322,480
Module5_Cell2_Voltage,3320,480
Module5_Cell3_Voltage,3324,480
Module5_Cell4_Voltage,3321,480
Module5_Cell5_Voltage,3326,459
Module5_Cell6_Voltage,3318,459
Module5_Cell7_Voltage,3323,459
Module5_Cell8_Voltage,3317,459
Module5_Cell9_Voltage,3317,461
Module5_Cell10_Voltage,3319,461
Module5_Cell11_Voltage,3322,461
Module5_Cell12_Voltage,3319,461
Module5_Cell13_Voltage,3326,462
Module5_Cell14_Voltage,3323,462
Module5_Cell15_Voltage,3339,462
Module5_Cell16_Voltage,3323,462
Module6_Cell1_Voltage,3321,464
Module6_Cell2_Voltage,3321,464
Module6_Cell3_Voltage,3322,464
Module6_Cell4_Voltage,3323,464
Module6_Cell5_Voltage,3327,457
Module6_Cell6_Voltage,3321,457
Module6_Cell7_Voltage,3324,457
Module6_Cell8_Voltage,3320,457
Module6_Cell9_Voltage,3304,476
Module6_Cell10_Voltage,3317,476
Module6_Cell11_Voltage,3314,476
Module6_Cell12_Voltage,3316,476
Module6_Cell13_Voltage,3312,448
Module6_Cell14_Voltage,3312,448
Module6_Cell15_Voltage,3313,448
Module6_Cell16_Voltage,3313,448
Module7_Cell1_Voltage,3315,461
Module7_Cell2_Voltage,3313,461
Module7_Cell3_Voltage,3312,461
Module7_Cell4_Voltage,3313,461
Module7_Cell5_Voltage,3316,457
Module7_Cell6_Voltage,3320,457
Module7_Cell7_Voltage,3322,457
Module7_Cell8_Voltage,3319,457
Module7_Cell9_Voltage,3301,457
Module7_Cell10_Voltage,3318,457
Module7_Cell11_Voltage,3313,457
Module7_Cell12_Voltage,3314,457
Module7_Cell13_Voltage,3318,457
Module7_Cell14_Voltage,3318,457
Module7_Cell15_Voltage,3318,457
Module7_Cell16_Voltage,3320,457
Module8_Cell1_Voltage,3320,464
Module8_Cell2_Voltage,3320,464
Module8_Cell3_Voltage,3322,464
Module8_Cell4_Voltage,3322,464
Module8_Cell5_Voltage,3320,462
Module8_Cell6_Voltage,3318,462
Module8_Cell7_Voltage,3334,462
Module8_Cell8_Voltage,3319,462
Module8_Cell9_Voltage,3292,461
Module8_Cell10_Voltage,3313,461
Module8_Cell11_Voltage,3311,461
Module8_Cell12_Voltage,3313,461
Module8_Cell13_Voltage,3313,454
Module8_Cell14_Voltage,3315,454
Module8_Cell15_Voltage,3314,454
Module8_Cell16_Voltage,3315,454
Module9_Cell1_Voltage,3320,465
Module9_Cell2_Voltage,3319,465
Module9_Cell3_Voltage,3320,465
Module9_Cell4_Voltage,3319,465
Module9_Cell5_Voltage,3322,461
Module9_Cell6_Voltage,3320,461
Module9_Cell7_Voltage,3334,461
Module9_Cell8_Voltage,3319,461
Module9_Cell9_Voltage,3298,462
Module9_Cell10_Voltage,3317,462
Module9_Cell11_Voltage,3317,462
Module9_Cell12_Voltage,3314,462
Module9_Cell13_Voltage,3314,454
Module9_Cell14_Voltage,3317,454
Module9_Cell15_Voltage,3315,454
Module9_Cell16_Voltage,3313,454
Module10_Cell1_Voltage,3318,467
Module10_Cell2_Voltage,3320,467
Module10_Cell3_Voltage,3319,467
Module10_Cell4_Voltage,3320,467
Module10_Cell5_Voltage,3329,478
Module10_Cell6_Voltage,3321,478
Module10_Cell7_Voltage,3325,478
Module10_Cell8_Voltage,3321,478
Module10_Cell9_Voltage,3309,460
Module10_Cell10_Voltage,3314,460
Module10_Cell11_Voltage,3315,460
Module10_Cell12_Voltage,3312,460
Module10_Cell13_Voltage,3317,460
Module10_Cell14_Voltage,3317,460
Module10_Cell15_Voltage,3319,460
Module10_Cell16_Voltage,3318,460
Module11_Cell1_Voltage,3319,467
Module11_Cell2_Voltage,3319,467
Module11_Cell3_Voltage,3318,467
Module11_Cell4_Voltage,3318,467
Module11_Cell5_Voltage,3318,461
Module11_Cell6_Voltage,3318,461
Module11_Cell7_Voltage,3320,461
Module11_Cell8_Voltage,3319,461
Module11_Cell9_Voltage,3304,460
Module11_Cell10_Voltage,3315,460
Module11_Cell11_Voltage,3312,460
Module11_Cell12_Voltage,3315,460
Module11_Cell13_Voltage,3314,465
Module11_Cell14_Voltage,3320,465
Module11_Cell15_Voltage,3317,465
Module11_Cell16_Voltage,3317,465
Module12_Cell1_Voltage,3319,494
Module12_Cell2_Voltage,3318,494
Module12_Cell3_Voltage,3322,494
Module12_Cell4_Voltage,3319,494
Module12_Cell5_Voltage,3319,464
Module12_Cell6_Voltage,3315,464
Module12_Cell7_Voltage,3334,464
Module12_Cell8_Voltage,3313,464
Module12_Cell9_Voltage,3311,462
Module12_Cell10_Voltage,3315,462
Module12_Cell11_Voltage,3317,462
Module12_Cell12_Voltage,3315,462
Module12_Cell13_Voltage,3320,454
Module12_Cell14_Voltage,3318,454
Module12_Cell15_Voltage,3319,454
Module12_Cell16_Voltage,3317,454
Module13_Cell1_Voltage,3317,471
Module13_Cell2_Voltage,3315,471
Module13_Cell3_Voltage,3317,471
Module13_Cell4_Voltage,3315,471
Module13_Cell5_Voltage,3317,468
Module13_Cell6_Voltage,3314,468
Module13_Cell7_Voltage,3318,468
Module13_Cell8_Voltage,3314,468
Module13_Cell9_Voltage,3307,495
Module13_Cell10_Voltage,3314,495
Module13_Cell11_Voltage,3316,495
Module13_Cell12_Voltage,3319,495
Module13_Cell13_Voltage,3316,482
Module13_Cell14_Voltage,3316,482
Module13_Cell15_Voltage,3317,482
Module13_Cell16_Voltage,3317,482
Module14_Cell1_Voltage,3313,472
Module14_Cell2_Voltage,3314,472
Module14_Cell3_Voltage,3315,472
Module14_Cell4_Voltage,3315,472
Module14_Cell5_Voltage,3313,471
Module14_Cell6_Voltage,3314,471
Module14_Cell7_Voltage,3315,471
Module14_Cell8_Voltage,3315,471
Module14_Cell9_Voltage,3315,475
Module14_Cell10_Voltage,3320,475
Module14_Cell11_Voltage,3321,475
Module14_Cell12_Voltage,3319,475
Module14_Cell13_Voltage,3324,479
Module14_Cell14_Voltage,3322,479
Module14_Cell15_Voltage,3336,479
